datetime,open,high,low,close,volume
2023-04-17 12:00:00,133.963,134.171,133.737,134.061,40595
2023-04-17 16:00:00,134.061,134.565,134.019,134.45,43257
2023-04-17 20:00:00,134.448,134.493,134.378,134.427,19148
2023-04-18 00:00:00,134.427,134.488,134.266,134.379,31603
2023-04-18 04:00:00,134.378,134.699,134.354,134.435,30800
2023-04-18 08:00:00,134.433,134.469,134.13,134.142,43612
2023-04-18 12:00:00,134.139,134.208,133.855,134.179,39776
2023-04-18 16:00:00,134.177,134.319,133.907,134.084,38302
2023-04-18 20:00:00,134.08,134.122,134.008,134.097,18994
2023-04-19 00:00:00,134.088,134.124,133.944,134.004,33896
2023-04-19 04:00:00,134.005,134.384,133.946,134.314,28736
2023-04-19 08:00:00,134.314,134.915,134.305,134.881,44921
2023-04-19 12:00:00,134.881,135.129,134.365,134.377,44322
2023-04-19 16:00:00,134.373,134.849,134.284,134.65,37164
2023-04-19 20:00:00,134.653,134.819,134.642,134.695,21559
2023-04-20 00:00:00,134.693,134.84,134.582,134.831,28067
2023-04-20 04:00:00,134.832,134.964,134.669,134.775,34048
2023-04-20 08:00:00,134.775,134.826,134.379,134.665,45400
2023-04-20 12:00:00,134.665,134.856,134.167,134.266,45643
2023-04-20 16:00:00,134.267,134.348,134.005,134.148,40000
2023-04-20 20:00:00,134.146,134.349,134.143,134.218,20635
2023-04-21 00:00:00,134.219,134.286,133.944,134.134,31444
2023-04-21 04:00:00,134.134,134.153,133.748,133.871,29209
2023-04-21 08:00:00,133.871,134.102,133.689,133.763,44072
2023-04-21 12:00:00,133.762,133.929,133.593,133.632,34964
2023-04-21 16:00:00,133.631,134.485,133.542,134.123,47987
2023-04-21 20:00:00,134.123,134.211,134.056,134.112,15405
2023-04-24 00:00:00,133.971,134.113,133.884,133.968,15112
2023-04-24 04:00:00,133.968,134.465,133.925,134.355,31887
2023-04-24 08:00:00,134.354,134.469,134.117,134.285,38784
2023-04-24 12:00:00,134.284,134.724,134.24,134.496,37655
2023-04-24 16:00:00,134.497,134.662,134.328,134.374,33269
2023-04-24 20:00:00,134.375,134.388,134.217,134.222,20649
2023-04-25 00:00:00,134.222,134.31,133.968,134.288,28928
2023-04-25 04:00:00,134.289,134.41,134.155,134.284,29062
2023-04-25 08:00:00,134.284,134.468,134.016,134.107,43993
2023-04-25 12:00:00,134.11,134.244,133.809,133.908,39471
2023-04-25 16:00:00,133.909,134.029,133.722,133.829,45969
2023-04-25 20:00:00,133.829,133.862,133.362,133.733,29102
2023-04-26 00:00:00,133.715,133.906,133.481,133.69,26226
2023-04-26 04:00:00,133.69,133.738,133.431,133.574,37728
2023-04-26 08:00:00,133.574,133.783,133.384,133.532,49670
2023-04-26 12:00:00,133.532,133.935,133.256,133.61,56832
2023-04-26 16:00:00,133.611,133.875,133.01,133.805,56085
2023-04-26 20:00:00,133.815,133.857,133.468,133.652,29347
2023-04-27 00:00:00,133.651,133.686,133.386,133.536,20107
2023-04-27 04:00:00,133.536,133.745,133.452,133.72,34877
2023-04-27 08:00:00,133.719,133.934,133.61,133.866,42986
2023-04-27 12:00:00,133.866,134.054,133.197,133.894,44668
2023-04-27 16:00:00,133.895,134.192,133.828,133.988,45740
2023-04-27 20:00:00,133.988,134.056,133.814,133.908,25610
2023-04-28 00:00:00,133.896,134.068,133.724,134.029,31873
2023-04-28 04:00:00,134.029,134.931,133.328,134.767,56370
2023-04-28 08:00:00,134.764,135.85,134.704,135.626,64510
2023-04-28 12:00:00,135.627,136.417,135.622,136.057,46722
2023-04-28 16:00:00,136.058,136.553,135.836,136.068,56686
2023-04-28 20:00:00,136.069,136.341,136.037,136.293,25636
2023-05-01 00:00:00,136.062,136.774,136.062,136.653,26703
2023-05-01 04:00:00,136.653,136.938,136.556,136.842,33454
2023-05-01 08:00:00,136.843,136.977,136.674,136.78,32491
2023-05-01 12:00:00,136.783,136.883,136.565,136.746,35331
2023-05-01 16:00:00,136.746,137.479,136.697,137.466,44157
2023-05-01 20:00:00,137.465,137.537,137.361,137.473,30302
2023-05-02 00:00:00,137.479,137.568,137.283,137.415,22746
2023-05-02 04:00:00,137.415,137.695,137.295,137.672,37702
2023-05-02 08:00:00,137.671,137.766,137.345,137.504,55299
2023-05-02 12:00:00,137.507,137.574,137.237,137.559,41051
2023-05-02 16:00:00,137.559,137.569,136.309,136.444,58832
2023-05-02 20:00:00,136.444,136.694,136.413,136.53,26887
2023-05-03 00:00:00,136.52,136.6,136.382,136.399,17927
2023-05-03 04:00:00,136.398,136.449,135.91,136.055,28318
2023-05-03 08:00:00,136.054,136.098,135.517,135.661,43266
2023-05-03 12:00:00,135.663,135.932,135.319,135.389,46581
2023-05-03 16:00:00,135.39,135.527,135.059,135.38,47775
2023-05-03 20:00:00,135.376,135.699,134.666,134.679,67108
2023-05-04 00:00:00,134.679,134.747,134.339,134.519,32979
2023-05-04 04:00:00,134.521,134.619,134.397,134.56,33814
2023-05-04 08:00:00,134.559,134.811,134.14,134.593,51855
2023-05-04 12:00:00,134.592,134.862,134.323,134.82,56950
2023-05-04 16:00:00,134.818,134.87,133.49,133.746,82146
2023-05-04 20:00:00,133.748,134.348,133.731,134.255,40836
2023-05-05 00:00:00,134.26,134.305,134.069,134.126,17333
2023-05-05 04:00:00,134.125,134.142,133.906,133.962,25641
2023-05-05 08:00:00,133.962,134.208,133.877,134.143,44294
2023-05-05 12:00:00,134.142,135.115,134.088,134.965,44938
2023-05-05 16:00:00,134.964,135.063,134.615,134.656,54395
2023-05-05 20:00:00,134.658,134.872,134.634,134.816,18523
2023-05-08 00:00:00,134.703,135.289,134.697,134.89,22266
2023-05-08 04:00:00,134.889,135.008,134.711,134.736,29345
2023-05-08 08:00:00,134.736,135.086,134.633,134.957,37716
2023-05-08 12:00:00,134.957,135.22,134.926,135.05,37357
2023-05-08 16:00:00,135.05,135.056,134.647,134.702,40191
2023-05-08 20:00:00,134.703,135.168,134.673,135.017,29764
2023-05-09 00:00:00,135.016,135.317,134.961,135.204,31336
2023-05-09 04:00:00,135.204,135.218,134.866,134.997,29947
2023-05-09 08:00:00,135.002,135.05,134.715,135.036,49515
2023-05-09 12:00:00,135.036,135.186,134.756,135.185,42270
2023-05-09 16:00:00,135.182,135.35,134.949,135.252,44937
2023-05-09 20:00:00,135.251,135.254,135.102,135.142,33804
2023-05-10 00:00:00,135.144,135.332,135.038,135.143,32474
2023-05-10 04:00:00,135.143,135.281,135.056,135.228,34199
2023-05-10 08:00:00,135.229,135.462,135.112,135.254,50701
2023-05-10 12:00:00,135.252,135.408,134.332,134.397,47340
2023-05-10 16:00:00,134.393,134.714,134.269,134.332,57381
2023-05-10 20:00:00,134.333,134.392,134.107,134.306,34117
2023-05-11 00:00:00,134.294,134.362,133.884,134.06,27307
2023-05-11 04:00:00,134.059,134.299,134.002,134.236,31175
2023-05-11 08:00:00,134.236,134.835,134.15,134.792,54500
2023-05-11 12:00:00,134.792,134.835,133.737,133.829,58938
2023-05-11 16:00:00,133.829,134.537,133.778,134.41,60142
2023-05-11 20:00:00,134.406,134.581,134.328,134.54,34883
2023-05-12 00:00:00,134.199,134.572,134.199,134.516,24838
2023-05-12 04:00:00,134.516,134.684,134.476,134.564,30833
2023-05-12 08:00:00,134.563,134.9,134.563,134.76,46757
2023-05-12 12:00:00,134.76,135.042,134.622,134.971,35752
2023-05-12 16:00:00,134.972,135.745,134.714,135.649,53182
2023-05-12 20:00:00,135.651,135.742,135.615,135.721,20298
2023-05-15 00:00:00,135.635,136.02,135.629,135.866,27544
2023-05-15 04:00:00,135.867,136.232,135.719,136.077,33279
2023-05-15 08:00:00,136.082,136.256,135.815,136.1,40282
2023-05-15 12:00:00,136.101,136.319,135.702,135.886,38929
2023-05-15 16:00:00,135.885,136.191,135.882,136.075,40458
